"NCBI.ID"	"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"55"	644284	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Arcanobacterium"	"Arcanobacterium haemolyticum DSM 20595"	"Arcanobacterium haemolyticum DSM 20595"	"Arcanobacterium_haemolyticum_DSM_20595"
"56"	367737	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	"Arcobacter butzleri RM4018"	"Arcobacter butzleri RM4018"	"Arcobacter_butzleri_RM4018"
"57"	1121019	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"Arthrobacter castelli DSM 16402"	"Arthrobacter castelli DSM 16402"	"Arthrobacter_castelli_DSM_16402"
"58"	997872	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"Atopobium minutum 10063974"	"Atopobium minutum 10063974"	"Atopobium_minutum_10063974"
"59"	521095	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"Atopobium parvulum DSM 20469"	"Atopobium parvulum DSM 20469"	"Atopobium_parvulum_DSM_20469"
"60"	553184	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"Atopobium rimae ATCC 49626"	"Atopobium rimae ATCC 49626"	"Atopobium_rimae_ATCC_49626"
"61"	1178544	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus altitudinis 41KF2b"	"Bacillus altitudinis 41KF2b"	"Bacillus_altitudinis_41KF2b"
"62"	692420	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus amyloliquefaciens DSM 7"	"Bacillus amyloliquefaciens DSM7"	"Bacillus_amyloliquefaciens_DSM7"
"63"	1198291	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus amyloliquefaciens DC-12"	"Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12"	"Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12"
"64"	743710	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus atrophaeus ATCC 49822-1"	"Bacillus atrophaeus ATCC 49822-1"	"Bacillus_atrophaeus_ATCC_49822_1"
"65"	405534	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus cereus AH187"	"Bacillus cereus AH187 (F4810/72)"	"Bacillus_cereus_AH187_F4810_72"
"66"	405531	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus cereus G9842"	"Bacillus cereus G9842"	"Bacillus_cereus_G9842"
"67"	66692	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus clausii KSM-K16"	"Bacillus clausii KSM-K16"	"Bacillus_clausii_KSM_K16"
"68"	1196029	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus endophyticus 2102"	"Bacillus endophyticus 2102"	"Bacillus_endophyticus_2102"
"69"	1307436	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus firmus DS1"	"Bacillus firmus DS1"	"Bacillus_firmus_DS1"
"70"	1292043	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus flexus 27Col1.1E"	"Bacillus flexus 27Col1.1E"	"Bacillus_flexus_27Col1_1E"
"71"	1121090	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus fordii DSM 16014 = CIP 108821"	"Bacillus fordii DSM 16014"	"Bacillus_fordii_DSM_16014"
"72"	272558	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus halodurans C-125"	"Bacillus halodurans C-125"	"Bacillus_halodurans_C_125"
"73"	1367477	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus infantis NRRL B-14911"	"Bacillus infantis NRRL B-14911"	"Bacillus_infantis_NRRL_B_14911"
"74"	279010	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus licheniformis DSM 13 = ATCC 14580"	"Bacillus licheniformis ATCC 14580"	"Bacillus_licheniformis_ATCC_14580"
"75"	592022	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus megaterium DSM 319"	"Bacillus megaterium DSM319"	"Bacillus_megaterium_DSM319"
