mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,b
cdp[c],"CDP",cpdAGORA0740,C9H12N3O11P2,-3,C00112,HMDB01546,0
cdpdaihpdecg[c],"CDP-1,2-dianteisoheptadecanoylglycerol (14-methyl-hexadecanoyl, anteiso-C17)",cpdAGORA0741,C46H83N3O15P2,-2,,,0
cdpdaipdecg[c],"CDP-1,2-dianteisopentadecanoylglycerol (12-methyl-tetradecanoyl, anteiso-C15)",cpdAGORA0742,C42H75N3O15P2,-2,,,0
cdpdddecg[c],"CDP-1,2-didodecanoylglycerol",cpdAGORA0743,C36H63N3O15P2,-2,,,0
cdpdhdec9eg[c],"CDP-1,2-dihexadec-9-enoylglycerol",cpdAGORA0744,C44H75N3O15P2,-2,,,0
cdpdhdecg[c],"CDP-1,2-dihexadecanoylglycerol",cpdAGORA0745,C44H79N3O15P2,-2,,,0
cdpdihdecg[c],"CDP-1,2-diisohexadecanoylglycerol (14-methyl-pentadecanoyl, iso-C16)",cpdAGORA0746,C44H79N3O15P2,-2,,,0
cdpdihpdecg[c],"CDP-1,2-diisoheptadecanoylglycerol (15-methyl-hexadecanoyl, iso-C17)",cpdAGORA0747,C46H83N3O15P2,-2,,,0
cdpdipdecg[c],"CDP-1,2-diisopentadecanoylglycerol (13-methyl-tetradecanoyl, iso-C15)",cpdAGORA0748,C42H75N3O15P2,-2,,,0
cdpditdecg[c],"CDP-1,2-diisotetradecanoylglycerol (12-methyl-tridecanoyl, iso-C14)",cpdAGORA0749,C40H71N3O15P2,-2,,,0
cdpdodec11eg[c],"CDP-1,2-dioctadec-11-enoylglycerol",cpdAGORA0750,C48H83N3O15P2,-2,,,0
cdpdodecg[c],"CDP-1,2-dioctadecanoylglycerol",cpdAGORA0751,C48H87N3O15P2,-2,,,0
cdpdtdec7eg[c],"CDP-1,2-ditetradec-7-enoylglycerol",cpdAGORA0752,C40H67N3O15P2,-2,,,0
cdpdtdecg[c],"CDP-1,2-ditetradecanoylglycerol",cpdAGORA0753,C40H71N3O15P2,-2,,,0
cdpglyc[c],"CDPglycerol",cpdAGORA0754,C12H19N3O13P2,-2,,,0
cellb[c],"cellobiose",cpdAGORA0755,C12H22O11,0,,,0
cgly[c],"L-cysteinylglycine",cpdAGORA0756,C5H10N2O3S,0,C01419,HMDB00078,0
cgly[e],"L-cysteinylglycine",cpdAGORA0757,C5H10N2O3S,0,C01419,HMDB00078,0
chol[c],"Choline",cpdAGORA0758,C5H14NO,1,C00114,HMDB00097,0
chols[c],"Choline sulfate",cpdAGORA0759,C5H13NO4S,0,,,0
chor[c],"chorismate",cpdAGORA0760,C10H8O6,-2,,,0
chtbs[c],"N,N-diacetylchitobiose",cpdAGORA0761,C16H28N2O11,0,,,0
cit[c],"Citrate",cpdAGORA0762,C6H5O7,-3,C00158,HMDB00094,0
cit[e],"Citrate",cpdAGORA0763,C6H5O7,-3,C00158,HMDB00094,0
cl[c],"Chloride",cpdAGORA0764,Cl,-1,C00698,HMDB00492,0
cl[e],"Chloride",cpdAGORA0765,Cl,-1,C00698,HMDB00492,0
clpn140[c],"cardiolipin (tetratetradecanoyl, n-C14:0)",cpdAGORA0766,C65H124O17P2,-2,,,0
clpn160[c],"cardiolipin (tetrahexadecanoyl, n-C16:0)",cpdAGORA0767,C73H140O17P2,-2,,,0
clpn180[c],"cardiolipin (tetraoctadecanoyl, n-C18:0)",cpdAGORA0768,C81H156O17P2,-2,,,0
clpnai15[c],"cardiolipin (12-methyl-tetradecanoyl, anteiso-C15)",cpdAGORA0769,C69H132O17P2,-2,,,0
clpnai17[c],"cardiolipin (14-methyl-hexadecanoyl, anteiso-C17)",cpdAGORA0770,C77H148O17P2,-2,,,0
clpni14[c],"cardiolipin (12-methyl-tridecanoyl, iso-C14)",cpdAGORA0771,C65H124O17P2,-2,,,0
clpni15[c],"cardiolipin (13-methyl-tetradecanoyl, iso-C15)",cpdAGORA0772,C69H132O17P2,-2,,,0
clpni16[c],"cardiolipin (14-methyl-pentadecanoyl, iso-C16)",cpdAGORA0773,C73H140O17P2,-2,,,0
clpni17[c],"cardiolipin (15-methyl-hexadecanoyl, iso-C17)",cpdAGORA0774,C77H148O17P2,-2,,,0
cmp[c],"CMP",cpdAGORA0775,C9H12N3O8P,-2,C00055,HMDB00095,0
cmpacna[c],"CMP-N-acetyl-beta-neuraminate(2-)",cpdAGORA0776,C20H29N4O16P,-2,C00128,HMDB01176,0
co2[c],"carbon dioxide",cpdAGORA0777,CO2,0,C00011,HMDB01967,0
co2[e],"carbon dioxide",cpdAGORA0778,CO2,0,C00011,HMDB01967,0
coa[c],"Coenzyme A",cpdAGORA0779,C21H32N7O16P3S,-4,C00010,HMDB01423,0
cobalt2[c],"Co2+",cpdAGORA0780,Co,2,,,0
cobalt2[e],"Co2+",cpdAGORA0781,Co,2,,,0
core2[e],"Core 2",cpdAGORA0782,C22H37N2O15X,0,,,0
core2_rl[e],"released Core 2",cpdAGORA0783,C22H38N2O16,0,G00306,,0
core3[e],"Core 3",cpdAGORA0784,C16H27N2O10X,0,,,0
core4[e],"Core 4",cpdAGORA0785,C24H40N3O15X,0,,,0
core4_rl[e],"released Core 4",cpdAGORA0786,C24H41N3O16,0,G00643,,0
core5[e],"Core 5",cpdAGORA0787,C16H27N2O10X,0,,,0
core6[e],"Core 6",cpdAGORA0788,C16H27N2O10X,0,,,0
core7[e],"Core 7",cpdAGORA0789,C16H27N2O10X,0,,,0
core8[e],"Core 8",cpdAGORA0790,C14H24NO10X,0,,,0
cpppg3[c],"Coproporphyrinogen III",cpdAGORA0791,C36H40N4O8,-4,C03263,HMDB01261,0
ctp[c],"CTP",cpdAGORA0792,C9H12N3O14P3,-4,C00063,HMDB00082,0
cu2[c],"Cu2+",cpdAGORA0793,Cu,2,,,0
cu2[e],"Cu2+",cpdAGORA0794,Cu,2,,,0
cys_L[c],"L-cysteine",cpdAGORA0795,C3H7NO2S,0,C00097,HMDB00574,0
cys_L[e],"L-cysteine",cpdAGORA0796,C3H7NO2S,0,C00097,HMDB00574,0
cyst_L[c],"L-cystathionine",cpdAGORA0797,C7H14N2O4S,0,C02291,HMDB00099,0
cytd[c],"Cytidine",cpdAGORA0798,C9H13N3O5,0,C00475,HMDB00089,0
dad_2[c],"2-deoxyadenosine",cpdAGORA0799,C10H13N5O3,0,C00559,HMDB00101,0
dadp[c],"dADP",cpdAGORA0800,C10H12N5O9P2,-3,C00206,HMDB01508,0
damp[c],"dAMP(2-)",cpdAGORA0801,C10H12N5O6P,-2,C00360,HMDB00905,0
datp[c],"dATP",cpdAGORA0802,C10H12N5O12P3,-4,C00131,HMDB01532,0
dcaACP[c],"Decanoyl-ACP (n-C10:0ACP)",cpdAGORA0803,C21H39N2O8PRS,-1,,,0
dcamp[c],"N6-(1,2-Dicarboxyethyl)-AMP",cpdAGORA0804,C14H14N5O11P,-4,C03794,HMDB00536,0
dcdp[c],"dCDP",cpdAGORA0805,C9H12N3O10P2,-3,C00705,HMDB01245,0
dcmp[c],"dCMP",cpdAGORA0806,C9H12N3O7P,-2,C00239,HMDB01202,0
dctp[c],"dCTP",cpdAGORA0807,C9H12N3O13P3,-4,C00458,HMDB00998,0
dcyt[c],"Deoxycytidine",cpdAGORA0808,C9H13N3O4,0,C00881,HMDB00014,0
ddcaACP[c],"Dodecanoyl-ACP (n-C12:0ACP)",cpdAGORA0809,C23H43N2O8PRS,-1,,,0
ddca[c],"laurate",cpdAGORA0810,C12H23O2,-1,C02679,HMDB00638,0
dextrin[c],"Dextrin",cpdAGORA0811,C36H62O31,0,C00721,,0
dextrin[e],"Dextrin",cpdAGORA0812,C36H62O31,0,C00721,,0
dgdp[c],"dGDP",cpdAGORA0813,C10H12N5O10P2,-3,C00361,HMDB00960,0
dgmp[c],"dGMP",cpdAGORA0814,C10H12N5O7P,-2,C00362,HMDB01044,0
dgsn[c],"Deoxyguanosine",cpdAGORA0815,C10H13N5O4,0,C00330,HMDB00085,0
dgtp[c],"dGTP",cpdAGORA0816,C10H12N5O13P3,-4,C00286,HMDB01440,0
dha[c],"glycerone",cpdAGORA0817,C3H6O3,0,C00184,HMDB01882,0
dhap[c],"Dihydroxyacetone phosphate",cpdAGORA0818,C3H5O6P,-2,C00111,HMDB01473,0
dhf[c],"7,8-Dihydrofolate",cpdAGORA0819,C19H19N7O6,-2,C00415,HMDB01056,0
dhlam[c],"dihydrolipoamide",cpdAGORA0820,C8H17NOS2,0,C00579,HMDB00985,0
dhna[c],"1,4-Dihydroxy-2-naphthoate",cpdAGORA0821,C11H7O4,-1,,,0
dhnpt[c],"Dihydroneopterin",cpdAGORA0822,C9H13N5O4,0,,,0
dhor_S[c],"(S)-dihydroorotate",cpdAGORA0823,C5H5N2O4,-1,C00337,HMDB03349,0
dhptd[c],"4,5-dihydroxy-2,3-pentanedione",cpdAGORA0824,C5H8O4,0,,,0
diglcpg180[c],"Diglucosyl-1,2 distearoylglycerol",cpdAGORA0825,C51H96O15,0,,,0
diglcpgai17[c],"Diglucosyl-1,2 dianteisoheptadecanoylglycerol",cpdAGORA0826,C49H92O15,0,,,0
diglcpgi17[c],"Diglucosyl-1,2 diisoheptadecanoylglycerol",cpdAGORA0827,C49H92O15,0,,,0
din[c],"Deoxyinosine",cpdAGORA0828,C10H12N4O4,0,C05512,HMDB00071,0
dmbzid[c],"5,6-Dimethylbenzimidazole",cpdAGORA0829,C9H10N2,0,,,0
dmpp[c],"Dimethylallyl diphosphate",cpdAGORA0830,C5H9O7P2,-3,C00235,HMDB01120,0
dnad[c],"Deamino-NAD+",cpdAGORA0831,C21H24N6O15P2,-2,C00857,HMDB01179,0
dnarep[c],"DNA replication",cpdAGORA0832,X,0,,,0
dpcoa[c],"Dephospho-CoA",cpdAGORA0833,C21H33N7O13P2S,-2,C00882,HMDB01373,0
drib[c],"2-deoxy-D-ribose",cpdAGORA0834,C5H10O4,0,C01801,HMDB03224,0
drib[e],"2-deoxy-D-ribose",cpdAGORA0835,C5H10O4,0,C01801,HMDB03224,0
dsT_antigen[e],"disialyl-T antigen",cpdAGORA0836,C36H56N3O26X,-2,,,0
dsT_antigen_rl[e],"released disialyl-T antigen",cpdAGORA0837,C36H57N3O27,-2,G00269,,0
